"('digit', 0.0070942403)","('use', 0.0036626207)","('switch', 0.0032787237)","('get', 0.0029403537)","('would', 0.0028001964)","('work', 0.0026510025)","('go', 0.002579375)","('smart', 0.0025497382)","('like', 0.002048418)","('want', 0.0019083045)"
"('digit', 0.0056247395)","('get', 0.0038012704)","('use', 0.0034877865)","('work', 0.0029996808)","('go', 0.0028409099)","('switch', 0.0025523512)","('light', 0.002459071)","('like', 0.002422215)","('would', 0.0023518114)","('device', 0.0021852087)"
"('digit', 0.006294681)","('use', 0.0041402834)","('switch', 0.0035440703)","('get', 0.0032210953)","('like', 0.0024907843)","('work', 0.0024014588)","('light', 0.0023421873)","('smart', 0.0022444883)","('would', 0.002159626)","('device', 0.0019780423)"
"('digit', 0.0044684336)","('get', 0.0036491647)","('use', 0.0032745283)","('go', 0.003144542)","('switch', 0.0030388802)","('light', 0.0025471337)","('work', 0.0023533646)","('smart', 0.0022739957)","('like', 0.0022159633)","('need', 0.0020588387)"
"('use', 0.00406408)","('switch', 0.003380517)","('digit', 0.0033796297)","('go', 0.0026235194)","('get', 0.0022108557)","('like', 0.0021606293)","('would', 0.0021477195)","('hub', 0.0021358961)","('light', 0.0021219072)","('smart', 0.0020383648)"
"('digit', 0.0063403924)","('use', 0.0042653787)","('smart', 0.0029430871)","('work', 0.002930833)","('get', 0.00286172)","('would', 0.0028569154)","('switch', 0.0028003852)","('light', 0.0025260756)","('go', 0.0024226543)","('want', 0.0022642165)"
"('digit', 0.0056214333)","('switch', 0.0036680812)","('use', 0.0031533164)","('work', 0.0030113277)","('light', 0.0027357093)","('go', 0.0024965783)","('would', 0.0023877516)","('get', 0.0021572886)","('like', 0.002113838)","('smart', 0.00199054)"
"('digit', 0.0049642357)","('use', 0.0039174873)","('switch', 0.0033819028)","('like', 0.0029262756)","('work', 0.0027679368)","('get', 0.0027231039)","('hub', 0.00244507)","('would', 0.002392079)","('light', 0.002321389)","('smart', 0.0022743898)"
"('digit', 0.008483283)","('use', 0.0033888456)","('get', 0.0031417564)","('work', 0.0030400783)","('switch', 0.0030159163)","('light', 0.0026743838)","('would', 0.0023542908)","('control', 0.0023479743)","('go', 0.0022715575)","('device', 0.0021121379)"
"('digit', 0.0072254827)","('get', 0.003850558)","('switch', 0.0032607953)","('use', 0.0031995233)","('work', 0.002961533)","('light', 0.0027110816)","('go', 0.0023879495)","('would', 0.002313325)","('smart', 0.0023078844)","('like', 0.002181714)"
"('digit', 0.0063887276)","('use', 0.0043273815)","('get', 0.0033723195)","('switch', 0.0029036421)","('smart', 0.0026113887)","('like', 0.0025889478)","('go', 0.002258922)","('work', 0.0021782639)","('light', 0.0021400535)","('would', 0.0020515455)"
"('digit', 0.0062801554)","('use', 0.0042417394)","('switch', 0.0034297088)","('smart', 0.0029226027)","('work', 0.0028699902)","('get', 0.002682158)","('go', 0.0026462444)","('like', 0.002501445)","('would', 0.0024165572)","('need', 0.0019978334)"
"('digit', 0.0049602403)","('use', 0.0048839077)","('switch', 0.0034500102)","('like', 0.002808152)","('go', 0.0026222097)","('smart', 0.0025334335)","('get', 0.0024598604)","('device', 0.002349149)","('light', 0.0021199025)","('home', 0.0020768635)"
"('switch', 0.0041012983)","('work', 0.0036088775)","('use', 0.0033512837)","('smart', 0.003257065)","('digit', 0.003222123)","('get', 0.0028483684)","('like', 0.002731934)","('light', 0.0024664183)","('would', 0.002377979)","('device', 0.0021065413)"
"('digit', 0.006524174)","('get', 0.0038182344)","('use', 0.0037012887)","('switch', 0.0032265717)","('work', 0.0030032091)","('would', 0.0025416499)","('smart', 0.0021665806)","('like', 0.0020986686)","('device', 0.001985021)","('control', 0.0019169647)"
"('digit', 0.0041412567)","('use', 0.0033918316)","('switch', 0.0032710172)","('light', 0.0028470033)","('get', 0.0028208245)","('work', 0.002392852)","('smart', 0.0022589283)","('device', 0.002148505)","('would', 0.0020668418)","('like', 0.0020467676)"
"('digit', 0.005395418)","('switch', 0.0037114483)","('device', 0.0028844515)","('use', 0.0028434445)","('work', 0.002698745)","('get', 0.0025874511)","('would', 0.002535299)","('like', 0.0023931551)","('go', 0.002348935)","('smart', 0.0021186278)"
"('digit', 0.0069691506)","('switch', 0.0039038602)","('use', 0.0037801627)","('smart', 0.003256011)","('work', 0.0029409982)","('get', 0.0027516633)","('like', 0.0025664377)","('device', 0.0023087587)","('control', 0.002098853)","('would', 0.0020456542)"
"('digit', 0.006289331)","('get', 0.0037367314)","('switch', 0.0032656218)","('use', 0.0029515568)","('smart', 0.0025654477)","('work', 0.0025473225)","('would', 0.0023538987)","('like', 0.0021380421)","('hub', 0.0020117012)","('go', 0.0020058695)"
"('digit', 0.007718281)","('use', 0.0037671714)","('switch', 0.0036429171)","('get', 0.0031681901)","('work', 0.003020178)","('want', 0.0026710378)","('smart', 0.0026199387)","('light', 0.0021655008)","('would', 0.0020187818)","('need', 0.0019519487)"
"('digit', 0.0057570105)","('use', 0.0037962198)","('get', 0.003742773)","('switch', 0.003266596)","('go', 0.002646104)","('like', 0.0026399828)","('would', 0.0025818634)","('light', 0.0025492366)","('work', 0.0025092335)","('smart', 0.00212943)"
"('digit', 0.0066017886)","('use', 0.0046660313)","('switch', 0.00346587)","('get', 0.003360508)","('would', 0.0031567542)","('like', 0.002695612)","('smart', 0.0026657302)","('work', 0.0025457046)","('light', 0.0025233515)","('go', 0.0024244834)"
"('digit', 0.006986537)","('use', 0.004838294)","('switch', 0.003651651)","('get', 0.0035754524)","('work', 0.0030111065)","('like', 0.0028322872)","('light', 0.0026400082)","('go', 0.002320157)","('would', 0.002072177)","('control', 0.0020720994)"
"('digit', 0.005558562)","('use', 0.0038418188)","('switch', 0.0035898578)","('get', 0.0031652674)","('like', 0.0026048208)","('want', 0.0023713084)","('work', 0.0023036213)","('device', 0.0022965441)","('smart', 0.0022540563)","('would', 0.0022400476)"
"('digit', 0.0067291716)","('use', 0.004556624)","('switch', 0.0041973293)","('get', 0.003136417)","('work', 0.003005814)","('would', 0.0026733088)","('go', 0.0024732766)","('like', 0.002258517)","('smart', 0.0021853303)","('device', 0.002128029)"
"('digit', 0.0070687)","('switch', 0.005182014)","('use', 0.004046227)","('get', 0.0033003464)","('would', 0.0028912462)","('work', 0.0025409681)","('like', 0.0025244)","('go', 0.0022077244)","('control', 0.0020422318)","('smart', 0.0020245565)"
"('digit', 0.0046701934)","('work', 0.0038851586)","('switch', 0.003539052)","('use', 0.0029843529)","('smart', 0.0029015916)","('would', 0.002873062)","('go', 0.0026566328)","('like', 0.0025432636)","('get', 0.0023955742)","('light', 0.0023556366)"
"('digit', 0.006829279)","('switch', 0.004414635)","('use', 0.004106002)","('work', 0.0037517953)","('get', 0.0029768369)","('smart', 0.0025813745)","('would', 0.0024229307)","('go', 0.002238011)","('device', 0.0020617386)","('light', 0.0019891711)"
"('digit', 0.0074506095)","('use', 0.0038778514)","('switch', 0.0038438332)","('like', 0.0026801287)","('go', 0.0025222802)","('light', 0.0024899559)","('get', 0.0024825246)","('smart', 0.002279899)","('turn', 0.0021020253)","('would', 0.0021013566)"
"('digit', 0.00502376)","('use', 0.0037383884)","('switch', 0.0036066382)","('get', 0.0029225508)","('work', 0.0025672528)","('like', 0.0023932871)","('device', 0.0022807058)","('go', 0.0022669814)","('smart', 0.0022039544)","('need', 0.0021185563)"
"('digit', 0.004742708)","('use', 0.0039204895)","('switch', 0.0038813262)","('get', 0.0031604904)","('light', 0.0024962432)","('would', 0.002382685)","('smart', 0.002292149)","('like', 0.002227748)","('work', 0.0021924889)","('go', 0.0020621093)"
"('digit', 0.006340739)","('switch', 0.004514589)","('get', 0.0029524635)","('use', 0.0029241352)","('like', 0.002480765)","('work', 0.0024792664)","('would', 0.0023917472)","('device', 0.0020770628)","('go', 0.0019373681)","('need', 0.001813131)"
"('digit', 0.0067647025)","('use', 0.0039804177)","('switch', 0.0039492063)","('get', 0.0038883802)","('work', 0.0030266282)","('light', 0.002766587)","('like', 0.0024003787)","('smart', 0.0023224475)","('go', 0.0022342068)","('thing', 0.0021551107)"
"('digit', 0.0060907546)","('get', 0.0038239544)","('use', 0.003595329)","('smart', 0.002750364)","('switch', 0.0025383614)","('work', 0.002526278)","('go', 0.0022045176)","('like', 0.0021423528)","('light', 0.002036323)","('device', 0.0020278958)"
"('digit', 0.0060513597)","('use', 0.0039857044)","('switch', 0.0032616379)","('smart', 0.002839775)","('like', 0.0027126516)","('get', 0.0026451559)","('light', 0.0026259974)","('work', 0.0024661107)","('go', 0.0021621601)","('need', 0.0020315682)"
"('digit', 0.0071427333)","('use', 0.004153749)","('switch', 0.0037130495)","('work', 0.0036543838)","('get', 0.0027633244)","('smart', 0.0025941501)","('go', 0.0024065415)","('like', 0.0022540814)","('would', 0.0021974111)","('light', 0.0019519663)"
"('digit', 0.004912533)","('use', 0.00426527)","('switch', 0.0034385184)","('like', 0.003312671)","('get', 0.0029114932)","('work', 0.0026115305)","('control', 0.002425456)","('want', 0.0021779595)","('device', 0.002140424)","('light', 0.002063377)"
"('digit', 0.0057488023)","('use', 0.0037547972)","('switch', 0.003444685)","('smart', 0.0027375268)","('would', 0.002617702)","('go', 0.0025818956)","('light', 0.0025789)","('work', 0.0024784775)","('get', 0.0023862196)","('like', 0.0020627114)"
"('digit', 0.0056240167)","('use', 0.0039750785)","('switch', 0.0031951224)","('get', 0.0030291812)","('smart', 0.0023403266)","('like', 0.0022900784)","('work', 0.002245773)","('want', 0.0021268888)","('thing', 0.002123086)","('go', 0.002119308)"
"('digit', 0.0061360905)","('use', 0.0039161816)","('switch', 0.0036896565)","('smart', 0.0031445727)","('get', 0.002684069)","('like', 0.0026002163)","('work', 0.0024204093)","('light', 0.0023892683)","('go', 0.0023754968)","('would', 0.0023673163)"
"('digit', 0.0060290894)","('use', 0.003971612)","('switch', 0.0031511765)","('smart', 0.0026787391)","('like', 0.0026187822)","('work', 0.002585635)","('get', 0.0024367643)","('would', 0.00233772)","('go', 0.0022960284)","('light', 0.0020886746)"
"('digit', 0.0068417923)","('switch', 0.0031968853)","('use', 0.0031543549)","('go', 0.00272929)","('smart', 0.0026915013)","('like', 0.0025659923)","('work', 0.0025281669)","('light', 0.0024582227)","('get', 0.0024075964)","('want', 0.0021504585)"
"('digit', 0.0043458226)","('switch', 0.0038430674)","('use', 0.0036611173)","('work', 0.0031647447)","('like', 0.0030616245)","('smart', 0.0028168669)","('get', 0.0025820606)","('would', 0.002539827)","('go', 0.0023361265)","('light', 0.0021743276)"
"('digit', 0.005292532)","('work', 0.0030223108)","('get', 0.003001444)","('go', 0.0029746958)","('switch', 0.002869774)","('use', 0.0028541854)","('light', 0.0024154873)","('control', 0.0021423402)","('device', 0.0020965876)","('like', 0.0020781248)"
"('digit', 0.0059118588)","('switch', 0.0043310663)","('use', 0.0033538006)","('get', 0.0031760102)","('smart', 0.0029427547)","('like', 0.0026455694)","('go', 0.0024135998)","('control', 0.002112535)","('want', 0.0020754754)","('work', 0.0020560957)"
"('digit', 0.00473529)","('switch', 0.0046580527)","('use', 0.003964489)","('get', 0.0032425195)","('like', 0.0023948925)","('would', 0.0023173403)","('work', 0.0022248582)","('smart', 0.0021596155)","('light', 0.0020440957)","('control', 0.0018908996)"
"('digit', 0.006084008)","('use', 0.004317208)","('switch', 0.0035035918)","('get', 0.0031766186)","('smart', 0.0025994845)","('go', 0.0025058591)","('light', 0.002452295)","('like', 0.0022021357)","('think', 0.002028866)","('work', 0.0019862903)"
"('digit', 0.0069340602)","('use', 0.0043153996)","('switch', 0.003244317)","('get', 0.0025540814)","('like', 0.0025511775)","('smart', 0.0025229084)","('work', 0.0023125086)","('hub', 0.002283975)","('would', 0.0022692352)","('light', 0.002221145)"
"('digit', 0.0056652953)","('work', 0.0033720764)","('use', 0.00319878)","('would', 0.0030500225)","('smart', 0.002809457)","('switch', 0.0027902115)","('light', 0.002324628)","('go', 0.0022500076)","('get', 0.0022346445)","('control', 0.0021029327)"
"('digit', 0.006496981)","('switch', 0.0034193748)","('work', 0.0031486826)","('get', 0.0029433598)","('use', 0.0027995585)","('would', 0.0024707057)","('device', 0.0022915811)","('smart', 0.0022880465)","('go', 0.0022508025)","('want', 0.0021601303)"
"('digit', 0.005159309)","('switch', 0.0041482844)","('use', 0.0041409065)","('work', 0.0025704785)","('light', 0.0025628458)","('would', 0.0025162136)","('smart', 0.0023663847)","('need', 0.0021987746)","('get', 0.0021856118)","('like', 0.0021031862)"
"('digit', 0.0060683507)","('switch', 0.0042927237)","('get', 0.0033797852)","('use', 0.003154245)","('work', 0.003007734)","('like', 0.0029275878)","('would', 0.0028669105)","('light', 0.0027031272)","('smart', 0.0024909654)","('hub', 0.0022486835)"
"('digit', 0.0063611497)","('switch', 0.003522937)","('get', 0.0032529873)","('use', 0.0031741634)","('work', 0.0030973856)","('like', 0.002181897)","('control', 0.00216261)","('want', 0.0020591144)","('hub', 0.0020472798)","('smart', 0.0020202454)"
"('digit', 0.00607565)","('use', 0.0039849305)","('get', 0.0035421941)","('switch', 0.0030129994)","('smart', 0.0029047013)","('would', 0.0028198666)","('work', 0.0025980517)","('go', 0.0025242975)","('like', 0.0024929976)","('light', 0.0024795386)"
"('digit', 0.004828112)","('use', 0.0038445878)","('switch', 0.0036899073)","('get', 0.0034319356)","('would', 0.0028174259)","('work', 0.002555811)","('light', 0.0021554395)","('device', 0.0021216439)","('go', 0.0020898965)","('thing', 0.0020191967)"
"('digit', 0.005374726)","('use', 0.0047707455)","('would', 0.0030550743)","('smart', 0.0028555554)","('go', 0.00269743)","('light', 0.0026084555)","('switch', 0.0025394624)","('work', 0.0024552864)","('get', 0.0024246005)","('like', 0.0022734166)"
